tweet_id,tweet_username,tweet_text,id
864609941386133504,Carlyle2209,A novel terceirização do trabalho reforça a indústria de serviços. A reforma da previdência fortalece a industria dos planos prevs privados. https:// twitter.com/carlyle2209/st atus/864609454305705984 …,
864566363930734592,mariameirelesac,O povo que tá reclamando do Museu dos Povos Acreanos é a favor da reforma da Previdência e votou pela aprovação da lei da terceirização .,
864529826383843329,LeonelGalo13,"Especialistas, em debate, analisaram que a reforma trabalhista, da Previdência e de terceirização irrestrita são... http:// fb.me/20mA9T1Vn",
864248596237037569,lufolliveira,"Com a terceirização vai aumentar o.desemprego, reforma . da . previdência que acaba com nossos direitos. #foratemer",
864212693628203014,Andrew_MK,"Bora acalmar o povo, ja que a Reforma da Previdência , Lei de terceirização esta deixando eles bravos. http:// fb.me/3hckve9p5",
864109547987881984,ACSP_oficial,#AoVivo A Reforma Trabalhista e a Lei da Terceirização . Entenda como funciona a reforma : https://www. youtube.com/watch?v=wss0NJ dQi08&feature=youtu.be …,
864104801772199938,ACSP_oficial,"#AoVivo A Reforma Trabalhista e a Lei da Terceirização . Palestra do professor e sociólogo José Pastore, acompanhe: https://www. youtube.com/watch?v=wss0NJ dQi08&feature=youtu.be …",
864088594947993601,NicollindaLuz,vou terminar minha redaçao sobre terceirizaçao e reforma da previdencia,
863876386037084160,toalhaterrivel,"Bancária defendendo reformas trabalhistas, lei da terceirização e reforma da previdência . Eu preciso me mudar daqui urgentemente!",
863758108165853187,ferreira_edisio,"Legado do governo temer são terceirização , ter rasgado a CLT e a reforma da previdência para impedir os mas pobres de si aposentar",
863717088518705152,ferreira_edisio,"O governo temer ficou marcado pela terceirização , ter rasgado a CLT,é a reforma da previdência onde o trabalhador jamais vai aposentar",
863546607832379392,PatrickC_Araujo,"Reforma do Ensino Médio, Lei da Terceirização , Reforma da Trabalhista e Previdenciária: Como… https://www. instagram.com/p/BUDVY9JDkCe/",
863520906383065088,HugoFonseca_,"Por Por enquanto isso é ilegal. Mas com a lei da terceirização e a reforma trabalhista, que dá ao contrato... http:// fb.me/ZRiDNXUf",
863343469842092032,marialicefreit2,"1) Um processo com 100 mil páginas, representa o que? É palhaçada pura, enquanto isso: Terceirização , Reforma da Previdência e Trabalhista..",
863211092008464385,ELeaojr,"A  Reforma trabalhista"" se juntará com a "" Lei da terceirização "" para acabar com as conquistas dos Acordos e Convenções coletivas! #ForaTemer""",
863177002492342272,valterdemesquit,"Claro que teve, o golpe, a terceirização , a reforma da Previdência , a reforma trabalhista, a recessão e o desespero do povo!",
863106656997175298,mdenser,"a reforma da previdência não é para diminuir o prejuízo do governo, é para os empresários deixarem de recolher inss com a terceirização .",
863101501568421888,CentralSindical,"Evento discute reforma trabalhista, previdenciária e lei da terceirização em Uberlândia-MG http:// ow.ly/kpXd30bFVxb",
863046677594243076,Samu_Hugo,Ops @MichelTemer não tem um papel com os trabalhadores e a lei da terceirização assim fala os especialistas imagina essa REFORMA PREVIDÊNCIA pic.twitter.com/KjLa26TCwy,
863043032626679809,adhemarmoc,"Um ano de medidas contra o trabalhador: PEC dos gastos, Reforma da previdência , trabalhista e terceirização . Tudo para agradar o mercado.",
863026468162613248,RoloOpressor,Lutem mais pq não está adiantando... Teto gastos Terceirização Reforma trabalhista Reforma da previdência,
862785938707099649,Lucaas_crvg,"Me fala aí um pouco da reforma da previdencia , processo de impeachment, foro privilegiado, reforma do ensino médio, terceirização e pec 241",
862690318923247616,lucaseandrade86,Já pensou se a moda pega no Brasil com a aprovação da reforma trabalhista e a nova lei de terceirização https:// twitter.com/radiobandnewsf m/status/862688166477737985 …,
862655572533014528,marcioccpv,"Pior é que ele ficou caladinho diante da reforma da previdência , trabalhista e lei da terceirização . Também,ele é empresário, né?",
862549472429182981,Superavegetto,"Lula e Dilma era a favor da terceirização e reforma da previdência , mas malvadão é o temer",
862282348070674432,kebinho75,"Está defendendo seus colaboradores, ou seja, empresários. Assim, como na lei da terceirização , reforma trabalhista e previdenciária. https:// twitter.com/andrizek/statu s/861911381171470338 …",
862277653860159488,Virtuamigtec,Vamos ver se ele vai ficar contra ou a favor da reforma da previdência . Terceirização e alterações trabalhistas .,
862274503933657089,ferreira_edisio,"Uma nova maneira de excluir pessoas foram a PEC dos gastos, terceirização , reforma trabalhista é a reforma da previdência !",
862145620110438400,peloluanzinho,"fazendo uma pesquisa sobre a terceirização , reforma da previdencia e a reforma trabalhista",
862104088930115584,Lssantos86,"Terceirização sim, Reforma da Previdência não. Isso ele já disse.",
862099929937973249,ljorge22,E tb foi favorável a TERCEIRIZAÇÃO e reforma da previdência né? deputado @BolsonaroSP .,
862091125355675649,Provocacoes,"A Reforma da Previdência vai ser aprovada, assim como foi a terceirização . Mas Foda-se, o que realmente importa é acabar com o PT, certo?",
862027566575648768,thiagofc3079,A reforma da previdencia e apoio a terceirizacao é plano de governo da Dilmanta,
861944919279063042,sindaebahia,"Reforma trabalhista, Lei da Terceirização e PEC do Teto são alguns dos projetos centrais de Michel Temer que já... http:// fb.me/1Sm5kfEcV",
861925885271736321,Patrus_Ananias,"(2) Nos gráficos do link anterior, vc vê como votaram partidos na PEC do Desmonte, na Lei da Terceirização e na  Reforma "" Trabalhista""",
861815850642403329,Luiz_EduardoRS,"Seus filhos e netos vão sentir na pele a consequência da lei de imigração, Corruptocracia, reforma Previdência , terceirização ... é uma pena!",
861679734190723073,bahmiguel,nossa vai se fuder lei da terceirização e reforma trabalhista bem na moral,
861645495017582592,CursinhoMafalda," Reforma trabalhista, Lei da Terceirização e PEC do Teto são alguns dos projetos centrais de Michel Temer que já... http:// fb.me/5LvkmZWHx""",
861645020788666372,CursinhoMafalda," Reforma trabalhista, Lei da Terceirização e PEC do Teto são alguns dos projetos centrais de Michel Temer que já... http:// fb.me/4aeZGpG1W""",
861529612559450112,Triele,"Na qualificação consta se votou na pec q congelou gastos,na terceirização ,na entrega do pré-sal,na reforma da previdência e trabalhista?",
860527714398240768,jasonziiinho,"Dilma defendeu a terceirização , defendeu a reforma da previdência e não se viu ninguém falar nada.",
